1,bank4,Apple,63691,S
2,bank3,Tesla,22318,S
3,bank4,CLc1,89841,B
4,bank3,DJ30,65552,S
5,bank3,DJ30,44315,S
6,bank5,CLc1,86980,S
7,bank1,EURUSD,77915,B
8,bank3,EURUSD,94984,B
9,bank5,DJ30,94086,S
10,bank5,EURUSD,39021,B
11,bank2,SP500,39220,S
12,bank2,Tesla,35710,B
13,bank3,DJ30,48634,B
14,bank1,Apple,34301,S
15,bank5,EURUSD,39228,B
16,bank5,DJ30,17700,B
17,bank1,EURUSD,86663,S
18,bank4,SP500,92240,S
19,bank4,Apple,82403,S
20,bank2,CLc1,24804,S
21,bank1,Apple,45258,S
22,bank4,EURUSD,88712,S
23,bank3,EURUSD,74942,S
24,bank3,SP500,32281,S
25,bank5,EURUSD,25148,S
26,bank5,SP500,94317,B
27,bank4,DJ30,15155,S
28,bank3,SP500,85076,S
29,bank5,EURUSD,80331,S
30,bank3,DJ30,41198,S
31,bank5,CLc1,61628,B
32,bank2,DJ30,30320,S
33,bank4,CLc1,92769,B
34,bank5,SP500,40210,S
35,bank3,Tesla,61220,B
36,bank5,Tesla,88170,S
37,bank3,Apple,82322,B
38,bank5,Tesla,81234,S
39,bank2,Apple,36787,B
40,bank2,Tesla,23779,B
41,bank1,Apple,6076,B
42,bank3,EURUSD,65300,B
43,bank2,EURUSD,24460,B
44,bank1,DJ30,66978,S
45,bank2,SP500,36825,B
46,bank3,EURUSD,90473,S
47,bank1,Tesla,86204,S
48,bank1,Tesla,91670,S
49,bank5,Tesla,60735,A
50,bank3,EURUSD,99867,B
51,bank2,CLc1,88015,B
52,bank4,EURUSD,79177,B
53,bank3,Apple,28586,
54,bank2,EURUSD,55660,S
55,bank4,DJ30,66677,S
56,bank5,Apple,99415,B
57,bank5,SP500,26253,S
58,bank1,Tesla,5261,B
59,bank1,SP500,56518,S
60,bank4,DJ30,60908,S
61,bank1,CLc1,12941,B
62,bank4,CLc1,48386,S
63,bank1,CLc1,49356,B
64,bank2,CLc1,37500,B
65,bank1,Tesla,92308,B
66,bank5,SP500,16600,S
67,bank1,SP500,82869,B
68,bank2,DJ30,19229,S
69,bank2,SP500,58313,S
70,bank5,EURUSD,99247,B
71,bank5,DJ30,78456,B
72,bank2,Apple,37686,B
73,bank1,Apple,76506,S
74,bank5,Apple,9381,S
75,bank4,SP500,57270,B
76,bank2,CLc1,68789,B
77,bank2,Apple,65145,B
78,bank4,SP500,69638,B
79,bank3,Tesla,20136,B
80,bank2,DJ30,23330,S
81,bank5,Tesla,9551,S
82,bank4,Tesla,55918,S
83,bank3,EURUSD,33306,S
84,bank5,SP500,69958,B
85,bank4,SP500,4478,B
86,bank3,SP500,49163,S
87,bank2,EURUSD,52168,S
88,bank2,SP500,27980,S
